Jour,Production_Solaire,Production_Eolienne,Production_Hydro,Production_Gaz,Production_Vapeur,Production_Cycle_Combine
1000,684.3960000000001,513.297,855.495,1026.594,171.09900000000002,171.09900000000002
1001,732.07,549.0525,915.0875,1098.105,183.0175,183.0175
1002,822.566,616.9245,1028.2075,1233.849,205.6415,205.6415
1003,893.838,670.3784999999999,1117.2975,1340.7569999999998,223.4595,223.4595
1004,870.7379999999999,653.0534999999999,1088.4225,1306.1069999999997,217.68449999999999,217.68449999999999
1005,909.3420000000001,682.0065,1136.6775,1364.013,227.33550000000002,227.33550000000002
1006,1010.7020000000001,758.0265,1263.3775,1516.053,252.67550000000003,252.67550000000003
